MCC Group,Group Description
MCCG1,Airlines
MCCG2,Rental Car
MCCG3,Hotels
MCCG4,Restaurants
MCCG5,Other Travel
MCCG6,Other Travel
MCCG7,Other Travel
MCCG8,Vehicle Expense
MCCG9,Vehicle Expense
MCCG10,Office Supply
MCCG11,Medical
MCCG12,Office Service
MCCG13,Money
MCCG14,Other
MCCG15,Other
MCCG16,Other
MCCG17,Other
MCCG18,Business Expense
MCCG19,Business Expense
MCCG20,Building Services
MCCG21,Auto/RV Dealer
MCCG22,Auto/RV Dealer
MCCG23,Other
MCCG24,Business Expense
MCCG25,Office Service
MCCG26,Other
MCCG27,Office Service
MCCG28,Other
MCCG29,Business Expense
MCCG30,Business Expense
MCCG31,Wholesale
MCCG32,Other
MCCG33,Office Services
MCCG34,Wholesale
MCCG35,Other
MCCG36,Other
MCCG37,Other
MCCG38,Wholesale
MCCG39,Risk
MCCG40,Risk
MCCG41,Risk
MCCG42,Other